Age,Session_Time_Min,Pages_Viewed,Items_in_Cart,Discount_%,Previous_Purchases,Purchase
22,5,3,0,0,0,No
25,8,5,1,5,1,No
28,15,9,2,10,2,Yes
30,18,11,3,15,3,Yes
35,7,4,0,0,1,No
27,12,7,1,5,2,No
33,20,12,3,15,4,Yes
41,6,3,0,0,1,No
29,17,10,2,10,3,Yes
38,9,5,1,5,2,No
24,4,2,0,0,0,No
31,19,13,3,20,5,Yes
45,6,3,0,0,1,No
34,16,9,2,10,3,Yes
26,11,6,1,5,2,No
37,22,14,3,20,6,Yes
23,5,3,0,0,0,No
28,14,8,2,10,2,Yes
32,18,11,3,15,4,Yes
39,7,4,0,0,1,No
21,4,2,0,0,0,No
25,9,5,1,5,1,No
27,15,8,2,10,2,Yes
30,19,11,3,15,3,Yes
36,8,5,1,5,2,No
29,13,7,1,5,2,No
33,21,13,3,20,5,Yes
42,6,3,0,0,1,No
31,17,10,2,10,3,Yes
38,10,6,1,5,2,No
22,5,3,0,0,0,No
26,12,7,1,5,2,No
28,16,9,2,10,2,Yes
34,20,12,3,15,4,Yes
40,7,4,0,0,1,No
27,14,8,2,10,2,Yes
35,22,14,3,20,6,Yes
44,6,3,0,0,1,No
30,18,11,3,15,3,Yes
37,9,5,1,5,2,No
23,4,2,0,0,0,No
29,17,10,2,10,3,Yes
32,21,13,3,20,5,Yes
41,7,4,0,0,1,No
25,11,6,1,5,2,No
36,19,12,3,15,4,Yes
28,5,3,0,0,0,No
31,15,9,2,10,2,Yes
39,18,11,3,15,4,Yes
43,8,5,1,5,2,No
22,4,2,0,0,0,No
26,10,6,1,5,1,No
28,16,9,2,10,2,Yes
33,20,12,3,15,4,Yes
38,7,4,0,0,1,No
27,13,7,1,5,2,No
35,21,13,3,20,5,Yes
42,6,3,0,0,1,No
31,18,11,2,10,3,Yes
37,9,5,1,5,2,No
23,5,3,0,0,0,No
29,17,10,2,10,3,Yes
34,22,14,3,20,6,Yes
40,7,4,0,0,1,No
26,12,7,1,5,2,No
36,19,12,3,15,4,Yes
28,4,2,0,0,0,No
32,15,9,2,10,2,Yes
41,18,11,3,15,4,Yes
45,8,5,1,5,2,No
22,4,2,0,0,0,No
25,9,5,1,5,1,No
27,14,8,2,10,2,Yes
30,20,12,3,15,4,Yes
35,7,4,0,0,1,No
29,13,7,1,5,2,No
33,21,13,3,20,5,Yes
41,6,3,0,0,1,No
31,17,10,2,10,3,Yes
38,10,6,1,5,2,No
24,5,3,0,0,0,No
28,16,9,2,10,2,Yes
34,20,12,3,15,4,Yes
40,7,4,0,0,1,No
26,11,6,1,5,2,No
36,19,12,3,15,4,Yes
29,4,2,0,0,0,No
32,15,9,2,10,2,Yes
39,18,11,3,15,4,Yes
43,8,5,1,5,2,No
22,4,2,0,0,0,No
26,10,6,1,5,1,No
28,16,9,2,10,2,Yes
33,20,12,3,15,4,Yes
38,7,4,0,0,1,No
27,13,7,1,5,2,No
35,21,13,3,20,5,Yes
42,6,3,0,0,1,No
31,18,11,2,10,3,Yes
37,9,5,1,5,2,No
23,5,3,0,0,0,No
29,17,10,2,10,3,Yes
34,22,14,3,20,6,Yes
40,7,4,0,0,1,No
26,12,7,1,5,2,No
36,19,12,3,15,4,Yes
28,4,2,0,0,0,No
32,15,9,2,10,2,Yes
41,18,11,3,15,4,Yes
45,8,5,1,5,2,No
