Age,Session_Time_Min,Pages_Viewed,Items_in_Cart,Discount_%,Previous_Purchases
22,5,3,0,0,0
25,8,5,1,5,1
28,15,9,2,10,2
30,18,11,3,15,3
35,7,4,0,0,1
27,12,7,1,5,2
33,20,12,3,15,4
41,6,3,0,0,1
29,17,10,2,10,3
38,9,5,1,5,2
24,4,2,0,0,0
31,19,13,3,20,5
45,6,3,0,0,1
34,16,9,2,10,3
26,11,6,1,5,2
37,22,14,3,20,6
23,5,3,0,0,0
28,14,8,2,10,2
32,18,11,3,15,4
39,7,4,0,0,1
21,4,2,0,0,0
25,9,5,1,5,1
27,15,8,2,10,2
30,19,11,3,15,3
36,8,5,1,5,2
29,13,7,1,5,2
33,21,13,3,20,5
42,6,3,0,0,1
31,17,10,2,10,3
38,10,6,1,5,2
22,5,3,0,0,0
26,12,7,1,5,2
28,16,9,2,10,2
34,20,12,3,15,4
40,7,4,0,0,1
27,14,8,2,10,2
35,22,14,3,20,6
44,6,3,0,0,1
30,18,11,3,15,3
37,9,5,1,5,2
23,4,2,0,0,0
29,17,10,2,10,3
32,21,13,3,20,5
41,7,4,0,0,1
25,11,6,1,5,2
36,19,12,3,15,4
28,5,3,0,0,0
31,15,9,2,10,2
39,18,11,3,15,4
43,8,5,1,5,2
22,4,2,0,0,0
26,10,6,1,5,1
28,16,9,2,10,2
33,20,12,3,15,4
38,7,4,0,0,1
27,13,7,1,5,2
35,21,13,3,20,5
42,6,3,0,0,1
31,18,11,2,10,3
37,9,5,1,5,2
23,5,3,0,0,0
29,17,10,2,10,3
34,22,14,3,20,6
40,7,4,0,0,1
26,12,7,1,5,2
36,19,12,3,15,4
28,4,2,0,0,0
32,15,9,2,10,2
41,18,11,3,15,4
45,8,5,1,5,2
22,4,2,0,0,0
25,9,5,1,5,1
27,14,8,2,10,2
30,20,12,3,15,4
35,7,4,0,0,1
29,13,7,1,5,2
33,21,13,3,20,5
41,6,3,0,0,1
31,17,10,2,10,3
38,10,6,1,5,2
24,5,3,0,0,0
28,16,9,2,10,2
34,20,12,3,15,4
40,7,4,0,0,1
26,11,6,1,5,2
36,19,12,3,15,4
29,4,2,0,0,0
32,15,9,2,10,2
39,18,11,3,15,4
43,8,5,1,5,2
