Age,Session_Time_Min,Pages_Viewed,Items_in_Cart,Discount_Offered,Previous_Purchases,Purchase
22,5,3,0,0,0,No
25,12,8,1,5,1,No
28,15,10,2,10,2,Yes
35,20,12,3,15,4,Yes
40,8,5,0,0,1,No
30,18,11,2,10,3,Yes
21,4,2,0,0,0,No
27,14,9,1,5,2,No
33,22,14,3,20,5,Yes
45,7,4,0,0,1,No
29,17,11,2,15,3,Yes
31,19,12,3,10,4,Yes
23,6,3,0,0,0,No
26,13,8,1,5,2,No
37,21,13,3,15,5,Yes
42,9,6,0,0,2,No
34,18,12,2,10,3,Yes
24,7,4,0,0,0,No
28,16,10,2,10,2,Yes
39,20,13,3,15,4,Yes
46,6,3,0,0,1,No
32,17,11,2,10,3,Yes
27,11,7,1,5,2,No
41,19,12,3,15,4,Yes
36,14,9,1,5,3,No
22,5,3,0,0,0,No
25,12,8,1,5,1,No
28,15,10,2,10,2,Yes
35,20,12,3,15,4,Yes
40,8,5,0,0,1,No
30,18,11,2,10,3,Yes
21,4,2,0,0,0,No
27,14,9,1,5,2,No
33,22,14,3,20,5,Yes
45,7,4,0,0,1,No
29,17,11,2,15,3,Yes
31,19,12,3,10,4,Yes
23,6,3,0,0,0,No
26,13,8,1,5,2,No
37,21,13,3,15,5,Yes
42,9,6,0,0,2,No
34,18,12,2,10,3,Yes
24,7,4,0,0,0,No
28,16,10,2,10,2,Yes
39,20,13,3,15,4,Yes
46,6,3,0,0,1,No
32,17,11,2,10,3,Yes
27,11,7,1,5,2,No
41,19,12,3,15,4,Yes
